SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S14,13829753512,0,모공,바닐라코,저렴하게,좋습니다,만족,9.48,8.46,5.51,5.21,5.17
N,P07,S14,13829753512,1,주름 부각이 덜 되는게 가장 좋으네요 가격도 저렴하고 재구매 할거에요,모공커버 할려구 때마침 구매했어요,재구매예정입니다,배송이 너무 빨라서 좋았아요,사용전이라 사용감은 체크 못했지만 유통기한도 넉넉하고 좋아요,,,,,
N,P07,S01,12548732544,0,한스킨,비비,커버,좋습니다,만족,7.92,5.94,4.83,3.46,2.7
N,P07,S01,12548732544,1,커버력은 이만한게 없어여,예전보다 색이 많이 나아졌는데 시간이 지나면 회색끼가 도는건 비슷하네요,재구매입니다,한스킨이 저에게 가장 잘 맞는제품인것같아요,떨어질때마다 계속 구매하는 한스킨 비비입니다,,,,,
N,P06,S26,10427916373,0,부드럽게,클리오,펜슬,만족,저렴하게,9.23,8.39,6.71,5.64,4.85
N,P06,S26,10427916373,1,써봤던 건데 저렴하게 구매할 수 있어 샀습니다,가성비 최고입니다,근데 색깔 별로 발림성 이 좀 달라요,좋아요,초보에겐 오히려 이게 단점일 수도 만족쉐도우로 매트하게 유분기 잡아놓고 아이라인 그리고 그 위에 다시 쉐도우로 덮어서 스머징하며 덮어버리면 완전 잠금,,,,,
N,P07,S01,22848336428,0,홍조,붉은기,자연스럽게,커버,생각보다,6.51,5.35,5.2,4.1,3.54
N,P07,S01,22848336428,1,홍조있는사람한테 좋은것 같습니다,엄청 기분 좋았네용 선물 받은 느낌 건성피부인 저에겐 촉촉하고 톤보정도 되고 웜톤인데 보정도 잘되고 메이크업베이스로 쓰기도 좋아용 파운데이션이랑 섞어써도 찰떡입니당,홍조커버가 많이 되큰거 같진 않아요,붉은기가 잘 보정되는거 같아요,좋다고해서 구매하고싶었는데 이번에 구매했어요,,,,,
N,P07,S01,13057920955,0,엄마가,애터미,비비,만족,좋습니다,5.23,4.68,4.59,3.51,3.06
N,P07,S01,13057920955,1,제피부레 잚맞고 커버두 잘되요 홍튜호 푸포퍼,좋아요,그냥 출퇴근용으로 쓰는데 들뜨지도 않고가볍게 바르고 다니기 좋아요,싸게 잘 구입했어요,비비크림 항상사용하는 비비크림 너무좋아여 너무저렴하도 기분좋습니다,,,,,
