SITE_GUBUN,REVIEW_DOC_NO,PART_ID,DOC_PART_NO,REVIEW,CLASSIFY,EMPATHY,EMPATHY_SCORE
G,RVD-220316-0201199,122994,1,정말 간편하게 믹스해서 사용할 수 있어서 편한거같아요,12,만족,4
G,RVD-220316-0201199,122994,0,색도 잘 나오고 좋습니다,,,
