SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,REVIEW_DOC_NO,REVIEW,DOC_PART_NO
G,P12,S49,122994,RVD-220316-0201199,정말 간편하게 믹스해서 사용할 수 있어서 편한거같아요,1
G,P12,S49,122994,RVD-220316-0201199,색도 잘 나오고 좋습니다,0
