SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P05,S06,12061936096,1,만 유독 망고만 망고향이 전혀 안나고 변질된 것 같은 냄새가 나네요 다른분들은 향이 좋다는 분도 있는데 저만 그런걸까요 유통기한은 24년까지예요,촉촉하고 향긋한 냄새가 좋습니다,페퍼민트가 화하긴하네요,배송빠르고 저렴하게 샀어요,배송이 느리다고해서 걱정했는데하루만에 도착했어요,,,,,
N,P04,S43,80137720714,0,재구매,촉촉,시원,티트리,쿨링,74.43,62.45,61.06,54.49,49.6
N,P04,S43,80137720714,1,피브진정에좋슺니더 똑같은걸 두번쓰네요 두개사가지고 성분도괜찮른거갗고 폭촉해요,쓰던거애서 추가로 쿨링팩도 주문햇어요,집에선 처음해봤는데 어렵지 않고 진정효과가 있는 것 같아요,피부 온도도 낮춰주고 사용하는데 불편함도 없어요,요새 환절기라서 그런지 피부 뒤집히고 열오르는데 모델링팩 한번 해주면 많이 가라앉습니다,,,,,
N,P06,S27,12074691418,0,클리오,그리기,발색,눈썹,만족,6.96,5.84,5.73,5.23,5.02
N,P06,S27,12074691418,1,그렇게 잘 매끄럽게 그려지는줄은 색상도 애매해요 2호샀는데 붉은기 많이도는 브라운입니다,사선으로 되어 있어서 그리기 쉽고 발림성도 좋고 색상도 마음에 들어요,가격대비 좋아요,부드럽게 잘 그려져요,똥손도 잘 그릴수 있어요,,,,,
N,P09,S21,82935609396,0,커서,있어요,촉촉,만족,시원,9.66,6.81,6.25,5.86,5.78
N,P09,S21,82935609396,1,완전좋으네요,재구매좋아요,톡보정에 저는 지성이라 보송함도 좋아서 지인에게도 추천했습니다,크기는 너무 커서 좋네요,긴 설명이 필요 없습니다,,,,,
N,P07,S01,14980903915,0,커버,성분,가볍게,비비,만족,4.89,4.33,4.0,2.69,2.64
N,P07,S01,14980903915,1,무겁게 유분기 있는 제품이 아니어서 가볍게 발리고 마스크에도 잘 안묻을거 같아요,자연스럽게 얼굴 톤업되구 다크닝도없구 생활자외선 차단까지 성분도좋아 무겁지않고 안씻구 잠이들었는데도 트러블 안올라오더라구여다만 커버력은 약하니 강력한 커버력을 원하시는분들은 추천하지않고 자연스런 커버에 좋아요,할인중인건가요 매번 구매하는 제품인데 가격이 저렴해져서 기분 좋네요,일단 저는 매우 건성이고 피부톤은 하얀편이라 비비나 쿠션은 톤이 밝고 촉촉한 표현을 선호하는데 안좋은 성분이 많아서 이걸로 갈아 탔어요,아주좋아요,,,,,
N,P12,S03,5763649905,0,향도,미용실에서,향이,뿌리고,만족,14.25,8.99,8.04,5.68,5.44
N,P12,S03,5763649905,1,미용실에서 줘서 써봣는데 괜찮은것같아 주문햇어요,가격대비조음요,배송빠르고 좋아요,케이스가 바뀌었네뇨,미용실에서 써보구 구매한건데 역시나 좋으네요향도 자극적이지 않아요,,,,,
N,P06,S28,83485940089,0,웜톤,팔레트,색이,발색,레오제이,14.57,12.43,11.96,10.35,10.04
N,P06,S28,83485940089,1,웜톤이라고 늘 진한 붉은기만 쓸수 있는거 아니다너무 여리여리 이쁘고 저도 이제 청순 메컵 도전해보려구요,맑게 발색되어요,너무 좋아요,웜톤 취향저격입니다,23호 가을뮤트톤인데 저한테는 너무 티가 안나게 발려서 기존 팔레트랑 섞어야 할 것 같고 가루날림이 제가 써본 섀도우 중 제일 심합니다,,,,,
N,P07,S41,29503122619,0,팩트,블러,유분기,뽀송,마무리,11.03,5.56,4.06,4.05,3.96
