SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P07,S01,12374645451,1,매번 쓰던건데 다른거 써보니 이제품 좋다는걸 알겠더군요,커버력발림성사계절내내 쓰기 다 맞고 무난하고 가격까지 착해서너무 좋습니다,싼가격에 이정도면 가성비 갑갑갑,가볍게 집앞나갈때 운동갈때 최고 가벼운데 커버력있어요,아주잘발려요,,,,,
N,P10,S31,29300383619,0,촉촉하고,잘받았어요,향도,가격,발림성이,4.07,1.88,1.45,1.31,1.12
N,P10,S31,29300383619,1,근데 발림성이 정말 좋은건지는 잘 모르겠어요,이것만 빼고 다 좋습니다,광택이 나서 보는 사람들 이  피부가 좋아졌다고 하네요,농축되어 있는 느낌 광택도 나고 수시로 바릅니다,너무 편하고 좋아요,,,,,
N,P12,S03,29297530621,0,향이,향도,향은,머릿결이,향기,22.15,9.8,8.37,5.32,3.83
N,P12,S03,29297530621,1,안개분사에요,분사력도 좋고 엉킨 머리도 쓱쓱 잘내려가고 향도 좋네요,향이 아주 좋아요,백화점 샤 매장 가면 나는 냄새인데 고급스럽고 머리 젖어 있을때 뿌리고 드라이어 하면 정말 고급 살롱에서 관리 받고 난 머릿결이 됩니다,배송 진짜빨라요너무 좋아요향이 미쳤어요,,,,,
N,P07,S01,22848335426,0,커버력,감사합니다,지속력,실버라벨,비비,3.93,2.51,2.09,2.06,2.04
N,P07,S01,22848335426,1,빠른배송 감사합니다,커버력  가성비  이것보다  좋은것 있음,지속력 오래가고 들뜨지 않아요,만족합니다,늘 쓰던 제품입니다,,,,,
N,P07,S01,21302845912,0,커버,발림성,좋습니다,있어요,촉촉,5.87,4.13,2.7,2.41,2.31
N,P07,S01,21302845912,1,손으로 안바르고 퍼프에 짜서 발랐더니 밀착력이 진짜 좋네요,너무 묽어요,촉촉하네요,센텔리아 첨 써보는데 아주 자연스럽게 커버되네요,이렇게 발림성 커버 유지력 좋은데 이렇게 할인 많이 하셔도 되는건가 싶어요,,,,,
N,P07,S01,8861244331,0,커버력,발림성,촉촉,비비,좋습니다,6.4,5.28,4.82,4.43,3.92
