RVD-211116-0152598,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:16.980,2021-12-02 02:01:16.980
RVD-211116-0152599,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:16.997,2021-12-02 02:01:16.997
RVD-211116-0152600,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.027,2021-12-02 02:01:17.027
RVD-211116-0152601,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.053,2021-12-02 02:01:17.053
RVD-211116-0152602,27790718522,13,안타까움,2,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.080,2021-12-02 02:01:17.080
RVD-211116-0152603,27790718522,02,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.100,2021-12-02 02:01:17.100
RVD-211116-0152604,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.127,2021-12-02 02:01:17.127
RVD-211116-0152605,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.140,2021-12-02 02:01:17.140
RVD-211116-0152606,27790718522,13,행복,5,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.170,2021-12-02 02:01:17.170
RVD-211116-0152607,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.183,2021-12-02 02:01:17.183
RVD-211116-0152608,27790718522,13,부러움,2,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.197,2021-12-02 02:01:17.197
RVD-211116-0152609,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.213,2021-12-02 02:01:17.213
RVD-211116-0152610,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.237,2021-12-02 02:01:17.237
RVD-211116-0152611,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.257,2021-12-02 02:01:17.257
RVD-211116-0152612,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.287,2021-12-02 02:01:17.287
RVD-211116-0152613,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.300,2021-12-02 02:01:17.300
RVD-211116-0152614,27790718522,13,놀람,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.313,2021-12-02 02:01:17.313
RVD-211116-0152615,27790718522,02,바람,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.337,2021-12-02 02:01:17.337
RVD-211116-0152616,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.360,2021-12-02 02:01:17.360
RVD-211116-0152617,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.393,2021-12-02 02:01:17.393
RVD-211116-0152618,27790718522,02,짜증남,1,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.440,2021-12-02 02:01:17.440
RVD-211116-0152619,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.460,2021-12-02 02:01:17.460
RVD-211116-0152620,27790718522,13,고마움,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.480,2021-12-02 02:01:17.480
RVD-211116-0152621,27790718522,13,바람,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.500,2021-12-02 02:01:17.500
RVD-211116-0152622,27790718522,13,만족,4,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.537,2021-12-02 02:01:17.537
RVD-211116-0152623,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.550,2021-12-02 02:01:17.550
RVD-211116-0152624,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.570,2021-12-02 02:01:17.570
RVD-211116-0152625,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.593,2021-12-02 02:01:17.593
RVD-211116-0152626,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.610,2021-12-02 02:01:17.610
RVD-211116-0152627,27790718522,13,중립,3,,,,112.164.33.242,112.164.33.242,2021-12-02 02:01:17.640,2021-12-02 02:01:17.640
