SITE_GUBUN,PART_GROUP_ID,PART_SUB_ID,PART_ID,KEYWORD_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
N,P10,S02,10153242787,0,순하고,좋습니다,촉촉,트러블,있어요,12.36,8.36,7.94,6.72,6.32
N,P10,S02,10153242787,1,순한 피부 보습제입니다,수분 부족 지성피부인데 제 피부에 정말 잘 맞아요 기름기도 줄어들고 트러블이 많이 가라앉았아요,만족합니다,순하고좋습니다,좋아요,,,,,
N,P07,S01,12562493972,0,비비,만족,저렴하게,커버,가격,7.07,5.24,4.78,4.65,4.47
N,P07,S01,12562493972,1,쓰던제품을 저렴하게 구입하였습니다,많이 건조해요,쓰던제품입니다,좋아요,진짜 여신광채가족들 다 호수만 다르고 동일제품 씁니다,,,,,
N,P07,S01,13945551239,0,커버력,비비,섞어,만족,지속력,9.82,8.39,8.32,6.65,5.93
N,P07,S01,13945551239,1,만족합니다,아직 써보진 못했어요,늘 쓰는 제품이에요,맘에 듭니다 탁월한 선택입니다,미바랑 웨이크메이크랑 4대1 비율정도로 섞어서 쓰는데 커버력도 좋고 괜찮아서 다른거써보다가 두번째 구매합니다,,,,,
N,P08,S35,14327928128,0,향도,바디,거품,향이,바이오가,34.79,25.0,22.44,21.42,20.01
N,P08,S35,14327928128,1,또구매했어요,좋아요,아직만족감은없음,이 샴푸로는오랫동안 감지 않는다고 해서 머리가 떡이지지도 않고매일 감는다고 해서 건조해지지고 않는다뭐라 설명이 안됨간지럽지도 않음그래서 돈 없는데 비싸도 늘 구매함,큰아이가 너무 건조하고 아토피가 살짝 있어서 안 본게 없을 정도인데이걸로 정착 하려구요 거품도 잘 나지만 샤워 하고 나면 촉촉해서 좋아요,,,,,
N,P07,S33,14573265244,0,커버,한스킨,저렴하게,만족,좋습니다,24.21,7.14,5.38,5.01,4.75
N,P07,S33,14573265244,1,모공 커버되고 밀착력 좋아요,양 조절 잘해야해요,상품과 배송도 만족합니다,두개섞어서 기초위에 스폰지로 사사삭 와우 세상에 모공커버도 안하고 발랐는데 헐 기미 모공 커버 너무 매끄러워요이제품만쓰고 그위에 광나는팩트살짝하니 아무도 모릅니다 저처럼 기미를 처음 접하신분들 꼭 해보세요,최애 컨실러입니다,,,,,
N,P07,S01,14760725899,0,한스킨,비비,커버,만족,발림성,12.47,10.44,9.05,5.62,5.48
N,P07,S01,14760725899,1,잘받았습니다,촉촉하고 쫀득쫀득해서 제품의 질감은 좋은 것 같은데 아무래도 색이 제 피부에 어두워거 별 2개 뺐어요,잘 흡수되고 좋습니다,건성인 제 피부에는 조금 건조해서 물먹인 스펀지와 함께 사용했을때가 가장 베스트였습니다,사은품으로 주신것들만 아직 쓰고 있고 본품은 뜯지도 않았네요,,,,,
N,P08,S13,21158787917,0,향이,뿌리,향도,만족,향은,36.71,10.73,9.67,8.84,7.59
N,P08,S13,21158787917,1,쇼핑백 같이 잘 챙겨주셔서 감사해요,원래 쓰던 제품이에요,근데 지속력은 좋진 않음양도 많아서 하나 사놓으면 오래 써요,만족해요,잠을 푹 못자는 친구를 위해서 선물했어요향이 강하진 않지만 오히려 은은해서 더 좋다고 하네요,,,,,
N,P08,S13,21428304224,0,세타필,보습,겨울,저렴하게,좋습니다,20.38,11.6,9.0,8.35,8.09
N,P08,S13,21428304224,1,배송도 빠르고 가성비 좋은 제품이에요,난 다이어트 하고 있는데 내가 제일 잘 잘 잘 잘 하는 것 같아요,보습력 좋고 발림도 좋게 로션보단 크림 좋아요,번들거리지 않고 금방 흡수되서 매우 만족합니다,오래전부터 사용하던건데 건조해진 피부에 바르니 좋으네요 세일도하고 강력 추천합니다,,,,,
N,P11,S38,21429651189,0,비누,향도,향이,저렴하게,좋습니다,20.97,15.72,12.57,9.65,9.02
N,P11,S38,21429651189,1,화장실에 은은하게 계속 향이 퍼져있네요,머릿결이 많이 좋아졌네요,화이트는 4개씩 묶음으로 왔는데 시어버터는 낱개로 와서 향이 진동하네요,몇년째 도브만 쓰고 있는데 가격이 많이 올라서 아쉽네요 핑크는 향이 싫어져서 화이트만 쓰고있어요,손을 자주 씻어서 촉촉한 비누 찾다가 구매했어요,,,,,
N,P09,S22,21436527732,0,저렴하게,발림성,좋습니다,촉촉,있어요,9.51,7.54,7.51,7.07,6.55
N,P09,S22,21436527732,1,잘 사용하고 있습니다,매번 쓰는제품이에요,아주만족합니다,좋은 가격에 잘 구매했습니다,아주좋아요,,,,,
N,P07,S01,21558501685,0,셀퓨전씨,비비,커버,감사합니다,만족,4.12,4.07,2.97,2.77,2.66
N,P07,S01,21558501685,1,다른 제품을 쓰다가 한번 우연히 쓰게 되었는데 약간 두껍게 발립니 그리고 약간 매트한 느낌이 있는데 조금 지나면 흡수 됩니다,행사하길래 선크림과 같이 구입했어요,재구매각,하나만 바르고 나가고 싶어서 구매했어요,기름져서묻어나는단점이 좀 있는데얼굴홍조가려줘서거의십년정도 썼어요,,,,,
N,P09,S17,22356331129,0,끈적,편하고,좋습니다,편해요,발림,7.85,7.61,7.23,5.32,4.8
N,P09,S17,22356331129,1,남편운동용으로 요것만 사주라고하네요,선스틱 사용하기 편리해서 좋아요,배송은 빠르게 가격은 착하게 잘 받았습니다,사용하기 편하고 발림성이 좋아요,저렴한 가격에 구입했습니다,,,,,
N,P06,S26,22509241668,0,저렴하게,좋습니다,만족,지속력,있어요,7.94,5.84,5.11,4.3,3.82
N,P06,S26,22509241668,1,번지지 않고 지속력 오래가고 여태 사용한것중 최고예요,늘 쓰던 라이너입니다,브라운컬러 만족,진하고 잘 안지워 져서 좋아요,잘지워지는 거 빼면 좋아요,,,,,
N,P10,S34,22566448318,0,촉촉,만족,건조,있어요,주름,44.07,22.14,19.66,18.85,18.38
N,P10,S34,22566448318,1,다른데보다 저렴하고 좋습니다,하도 TV에 연예인들 사용하는게 많이 나와서 울 마나님 결혼 기념일 선물로 샀네요,만족했으면 좋겠네요,끈적이지않고 윤이나고 촉촉해요,가히 유명하다해서 사봤어요,,,,,
N,P10,S31,22590590664,0,윤조,만족,저렴하게,촉촉,좋습니다,20.3,13.25,13.06,12.95,8.88
N,P10,S31,22590590664,1,배송도 너무 빨르고 가격도 저렴하게 사서 만족도 1000입니다,촉촉하고 향이 좋아요,어머니 선물드렸는데 너무 좋아하시네요,촉촉하니 좋아요,누구나 좋아하는 윤조에센스죠,,,,,
N,P07,S42,22680573785,0,엄마가,좋습니다,만족,커버,저렴하게,10.61,4.71,4.36,4.32,3.73
N,P07,S42,22680573785,1,빠른배송감사합니다,좋습니다,좋아요,구성 푸짐해서 좋아요,감사합니당,,,,,
N,P07,S01,22848335426,0,커버력,감사합니다,비비,닥터자르트,실버라벨,4.03,2.68,2.66,2.46,2.46
N,P07,S01,22848335426,1,지속력 오래가고 들뜨지 않아요,만족합니다,늘 쓰던 제품입니다,오 만족해요,오래 써왔던 비비크림이에요,,,,,
N,P07,S01,22848336428,0,홍조,자연스럽게,붉은기,커버,생각보다,7.21,6.0,5.83,4.25,3.65
N,P07,S01,22848336428,1,트러블올라올때 바르려고 구매한거라 효과는 잘 모르겠고 그냥 자연스러워요,부드럽게 발라지면서 붉은기를 잡아줍니다 느낌이 너무 좋아서 체험용 다 사용하면 큰사이즈로 하나 사려구요,유튜버 다영님 보고 산 제품인데 화장은 안하지만 칙칙한 부분을 자연스럽게 커버하고 싶은 분들께 아주 좋은 제품 같아요,하지만 너무소량사용하면 전혀 보정이안되요,용량도 생각보다 많고 우선 발림성이 넘 좋아서 잘 펴발라지고 부드러워요 피부가 15호 정도 밝기라 색상도 걱정이였는데 삭제 피부에 펴지면 티가 안나네요,,,,,
N,P06,S26,10427916373,0,부드럽게,클리오,펜슬,만족,지속력,11.84,9.36,8.05,6.31,6.26
N,P06,S26,10427916373,1,부드럽게 발리고 잘 유지되요 빨리 다닳기도 하고 배송비 아까워 두개씩 삽니다,좋아요,역시 유명한 이유가 있네요,잘쓰고있습니다,넘맘에들어요,,,,,
N,P10,S02,10829344089,0,순하고,촉촉,있어요,좋습니다,아기,13.23,12.5,9.96,7.94,7.55
N,P10,S02,10829344089,1,늘 쓰는 제품 좋아요,좋아요,이제품을 꾸준히 쓰고 있어요,자극없고 촉촉해서 이 제품만 사용해요,아토베리어로션을 잠깐 끊고 트러블이 창궐하여 다시 샀습니다,,,,,
N,P02,S25,10933825800,0,저렴하게,향도,아빠,만족,좋습니다,13.14,11.89,8.56,8.49,8.37
N,P02,S25,10933825800,1,선물포장해서 잘 받았습니다,항상 사용하는 제품인데 이번에는 이곳이 가격이 제일 저렴해서 구매했네요,두개가 일반상자에 담겨왔네요,잘받았습니다,배석 만족 문 것 만족,,,,,
N,P07,S41,11038095471,0,만족,좋습니다,입자가,메포,저렴하게,7.87,7.69,7.26,5.68,5.52
